unNeighborClusters	group	medianAbundance	meanAbundance	minimumAbundance	maximumAbundance	IQRAbundance	sdAbundance	nAbundance
10	Firmicutes-Agathobacter	0.03386454183266932	0.045344936045292515	0.00597609561752988	0.1105577689243028	0.05527888446215139	0.03400157225728617	19
10	Firmicutes-Blautia	0.03585657370517928	0.04560330108138873	9.9601593625498e-4	0.28087649402390436	0.041334661354581664	0.05215151246206888	28
10	Firmicutes-Enterococcus	0.00249003984063745	0.0036520584329349268	9.9601593625498e-4	0.01095617529880478	0.0024900398406374506	0.0037620758231647526	6
10	Firmicutes-Erysipelatoclostridium	0.0049800796812749	0.012186547925943285	9.9601593625498e-4	0.06772908366533864	0.00896414342629482	0.01953222998728629	17
10	Firmicutes-Faecalibacterium	0.06075697211155378	0.0647410358565737	0.00298804780876494	0.1952191235059761	0.04133466135458168	0.04999058367836462	23
10	Firmicutes-Lactobacillus	0.00199203187250996	0.011288180610889775	9.9601593625498e-4	0.0647410358565737	0.00796812749003984	0.020599719003930712	9
10	Firmicutes-Other	0.00398406374501992	0.01038088021310323	9.9601593625498e-4	0.12250996015936257	0.00896414342629482	0.015898433702712475	857
10	Firmicutes-Streptococcus	0.00298804780876494	0.014492031872509959	9.9601593625498e-4	0.06175298804780876	0.02440239043824701	0.020495152839456736	20
10	Firmicutes-Unknown	0.01045816733067729	0.02845759817871367	9.9601593625498e-4	0.28087649402390436	0.0348605577689243	0.04239119502770129	112
10	Firmicutes-Veillonella	0.00398406374501992	0.004855577689243028	9.9601593625498e-4	0.01593625498007968	0.0034860557768924307	0.004833866716083685	8
10	Other-Cloacibacillus	0.04083665338645418	0.04083665338645418	0.04083665338645418	0.04083665338645418	0	NA	1
10	Other-Fusobacterium	0.00199203187250996	0.03303452855245684	9.9601593625498e-4	0.18227091633466136	0.006723107569721116	0.07319034326105969	6
10	Other-Other	0.00398406374501992	0.004780876494023904	9.9601593625498e-4	0.00896414342629482	0.00597609561752988	0.0035495079046226016	5
10	Other-Unknown	0.005478087649402391	0.011495683930942895	9.9601593625498e-4	0.0946215139442231	0.007968127490039839	0.019515590484940473	24
10	Proteobacteria-Bilophila	0.00298804780876494	0.0028457598178713715	9.9601593625498e-4	0.0049800796812749	0.00149402390438247	0.001339826113813843	7
10	Proteobacteria-Enterobacter	0.00149402390438247	0.00149402390438247	9.9601593625498e-4	0.00199203187250996	4.9800796812749e-4	7.042896226957645e-4	2
10	Proteobacteria-Escherichia-Shigella	0.0049800796812749	0.018061088977423638	9.9601593625498e-4	0.07768924302788845	0.013944223107569721	0.02724288050892938	15
10	Proteobacteria-Haemophilus	0.0049800796812748994	0.0076361221779548466	0.00199203187250996	0.0199203187250996	0.00846613545816733	0.007145445446116656	6
10	Proteobacteria-Other	0.00199203187250996	0.00398406374501992	9.9601593625498e-4	0.01394422310756972	0.0037350597609561755	0.004328819658169089	10
10	Proteobacteria-Parasutterella	0.00398406374501992	0.00796812749003984	9.9601593625498e-4	0.02888446215139442	0.00796812749003984	0.00995304242033162	15
10	Proteobacteria-Sutterella	0.00796812749003984	0.01802788844621514	0.00199203187250996	0.08565737051792828	0.01792828685258964	0.02527801322752461	10
10	Proteobacteria-Unknown	0.0049800796812749	0.027577191235059764	9.9601593625498e-4	0.16733067729083664	0.01045816733067729	0.04891877457454926	16
10	Verrucomicrobia-Akkermansia	0.0906374501992032	0.08266932270916334	9.9601593625498e-4	0.18426294820717132	0.09163346613545816	0.06293547988991698	17
11	Actinobacteria-Bifidobacterium	0.00199203187250996	0.00199203187250996	0.00199203187250996	0.00199203187250996	0	NA	1
11	Actinobacteria-Other	9.9601593625498e-4	0.0018771069567882319	9.9601593625498e-4	0.01095617529880478	9.9601593625498e-4	0.001660308459082232	78
11	Actinobacteria-Unknown	0.00199203187250996	0.002854254623297853	9.9601593625498e-4	0.01095617529880478	0.00298804780876494	0.002535771777258559	67
11	Bacteroidetes-Alistipes	0.00298804780876494	0.00298804780876494	0.00298804780876494	0.00298804780876494	0	NA	1
11	Bacteroidetes-Other	9.9601593625498e-4	0.0028220451527224437	9.9601593625498e-4	0.02888446215139442	9.9601593625498e-4	0.005111551298117888	42
11	Bacteroidetes-Parabacteroides	9.9601593625498e-4	0.013280212483399733	9.9601593625498e-4	0.03784860557768924	0.01842629482071713	0.021276852549816882	3
11	Firmicutes-Blautia	9.9601593625498e-4	9.9601593625498e-4	9.9601593625498e-4	9.9601593625498e-4	0	NA	1
11	Firmicutes-Erysipelatoclostridium	0.0149402390438247	0.0149402390438247	0.0149402390438247	0.0149402390438247	0	NA	1
11	Firmicutes-Faecalibacterium	9.9601593625498e-4	9.9601593625498e-4	9.9601593625498e-4	9.9601593625498e-4	0	NA	1
