contrast	day_relative_to_fmt2	estimate	SE	df	t.ratio	p.value
5 - 6	-1	3.709865786168749	3.6357292607219973	352.2895271655208	1.0203911017928846	0.432852180074737
5 - 7	-1	5.128041991122677	2.8107867203878034	328.8483274545384	1.8244151909239	0.14689599221711308
5 - 8	-1	4.739110645678125	2.5929958231044394	332.41897493030046	1.8276584186719864	0.14689599221711308
5 - 9	-1	3.1804221900999763	2.978313391574932	339.85269624244887	1.067860151687452	0.41996758572783927
5 - 10	-1	-6.094512391104279	2.630348594262457	345.09108462199436	-2.3169979843729283	0.0515501663467721
5 - 11	-1	-75.29131168934231	4.018128137860464	386.8237650111235	-18.737907081637452	2.4016675826137955e-55
5 - unClustered	-1	4.333111933475459	2.302488777364011	329.42591321281583	1.8819253218841718	0.13820754743321892
6 - 7	-1	1.4181762049539282	3.673158295156421	359.92279110393287	0.3860917747062505	0.8395881874615153
6 - 8	-1	1.0292448595093766	3.509301527712469	364.7553316595459	0.29329051703923764	0.8653556722792418
6 - 9	-1	-0.5294435960687724	3.8028831867679784	364.4878416042583	-0.13922163002822596	0.903034245617617
6 - 10	-1	-9.80437817727303	3.536990755021348	371.05712061879444	-2.7719547084916973	0.015451728028008517
6 - 11	-1	-79.00117747551106	4.6622873791770925	390.5215071788372	-16.94472499236094	6.789778956196987e-48
6 - unClustered	-1	0.6232461473067099	3.30045821722609	367.4723646131587	0.18883624826813433	0.903034245617617
7 - 8	-1	-0.38893134544455144	2.6452205848744206	348.07473673149207	-0.1470317249413873	0.903034245617617
7 - 9	-1	-1.9476198010227006	3.023890749091455	351.5890298292345	-0.6440774361996623	0.6728702087638996
7 - 10	-1	-11.222554382226958	2.6818460677944937	359.7351659404557	-4.184637782531718	1.3177371231319762e-4
7 - 11	-1	-80.419353680465	4.052026448121027	392.01025141640173	-19.846700091939528	3.871513458939301e-60
7 - unClustered	-1	-0.794930057647218	2.361147850917752	349.21830927240904	-0.3366710209774612	0.8528672109201221
8 - 9	-1	-1.558688455578149	2.822591116964964	357.90640628141034	-0.5522190040951286	0.7376045536827579
8 - 10	-1	-10.833623036782406	2.452631990836259	369.5496555765552	-4.4171416980859535	5.107188095065701e-5
8 - 11	-1	-80.03042233502043	3.904103442200392	397.80684024749763	-20.499052732556308	3.901539536359431e-63
8 - unClustered	-1	-0.40599871220266665	2.097170599885037	360.02896891207774	-0.19359355515708773	0.903034245617617
9 - 10	-1	-9.274934581204255	2.8569436470240253	367.8227372837976	-3.2464534576541677	0.004210164035284806
9 - 11	-1	-78.47173387944228	4.169981655499033	393.76785298022094	-18.818244386269694	6.7575069717187475e-56
9 - unClustered	-1	1.1526897433754824	2.5582900235938206	360.98882766061155	0.4505703937961706	0.7975851916272783
10 - 11	-1	-69.19679929823803	3.9290113357055056	401.90834450759337	-17.611758629811344	4.792552846287603e-51
10 - unClustered	-1	10.427624324579737	2.1431824266085195	377.344303459564	4.865486108469515	7.393163743037547e-6
11 - unClustered	-1	79.62442362281777	3.717506007883659	402.7855240976017	21.418774698402494	3.7696099730249325e-67
