.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	r
deltaDistance	3	unClustered	29	39	-0.3369233455792513	0.7361746859764754	0.8235174453296165	ns	-0.021885523103262607
deltaDistance	4	5	9	13	-0.8368890068850019	0.40265496014517815	0.5905606082129279	ns	-0.05436178268846011
deltaDistance	4	6	9	6	0.6795649069613499	0.4967799963973154	0.6691322400453635	ns	0.044142484237474064
deltaDistance	4	7	9	13	0.15150824686650474	0.8795748058756987	0.9070615185593143	ns	0.009841518198838349
deltaDistance	4	8	9	19	-0.9316979232834698	0.3514926600256874	0.5395003618998924	ns	-0.060520283598115523
deltaDistance	4	9	9	11	-0.015406187949755182	0.987708126743291	0.987708126743291	ns	-0.0010007394463209232
deltaDistance	4	10	9	19	-3.485224765513324	4.917238060781504e-4	0.0036059745779064363	**	-0.22638967624688738
deltaDistance	4	11	9	5	-1.3156369939848833	0.18829591071865295	0.33747438005977864	ns	-0.08545980622939746
deltaDistance	4	unClustered	9	39	0.3910524363667992	0.6957584770409291	0.7917251635293331	ns	0.025401585384292127
deltaDistance	5	6	13	6	1.4609752286901354	0.1440222395920962	0.2970458691586984	ns	0.09490053907015873
deltaDistance	5	7	13	13	1.092714278170481	0.27451926878359734	0.4529567934929356	ns	0.0709794197818203
deltaDistance	5	8	13	19	-0.03921067911054925	0.9687224194863565	0.9836258413246081	ns	-0.0025470073084225874
deltaDistance	5	9	13	11	0.8689238471264488	0.38488878504646423	0.5773331775696964	ns	0.05644266917321277
deltaDistance	5	10	13	19	-2.909957386543182	0.0036147803826106174	0.018351961942484674	*	-0.18902204447486184
deltaDistance	5	11	13	5	-0.7048713385819735	0.4808903081275448	0.6612241736753741	ns	-0.04578631361635579
deltaDistance	5	unClustered	13	39	1.5847015308658285	0.11303416390406112	0.264995521638127	ns	0.10293742603651604
deltaDistance	6	7	6	13	-0.59257397761187	0.5534662985417951	0.6764588093288607	ns	-0.03849181615812453
deltaDistance	6	8	6	19	-1.569904089011769	0.11643742617432853	0.264995521638127	ns	-0.10197622889830814
deltaDistance	6	9	6	11	-0.7193554586812556	0.4719219333421078	0.6612241736753741	ns	-0.04672715831952791
deltaDistance	6	10	6	19	-3.7764034664672255	1.5910918414761027e-4	0.001750201025623713	**	-0.2453037653728534
deltaDistance	6	11	6	5	-1.8033611565696996	0.07133151377423635	0.20469043083041735	ns	-0.1171408950239958
deltaDistance	6	unClustered	6	39	-0.4869710034244486	0.6262788798788775	0.7406482201237212	ns	-0.03163216584989613
deltaDistance	7	8	13	19	-1.2299684572878293	0.21870891690632677	0.3701227824568607	ns	-0.07989503678344922
deltaDistance	7	9	13	11	-0.1772704238263698	0.859295981216063	0.900214837464447	ns	-0.011514951418718462
deltaDistance	7	10	13	19	-4.100715164720462	4.1187527257588695e-5	5.436753598001708e-4	***	-0.2663700739498885
deltaDistance	7	11	13	5	-1.519332473906577	0.12867882961481444	0.2830934251525918	ns	-0.09869124949490363
deltaDistance	7	unClustered	13	39	0.24640532278016927	0.8053684862625405	0.8573277434407689	ns	0.016005745684380897
deltaDistance	8	9	19	11	0.9768272934374214	0.32865466144086275	0.5164573251213558	ns	0.06345175120372754
deltaDistance	8	10	19	19	-3.1848075238516236	0.0014485031563487639	0.009560120831901841	**	-0.2068754794146615
deltaDistance	8	11	19	5	-0.7099023751300384	0.4777646774679963	0.6612241736753741	ns	-0.046113114558026164
deltaDistance	8	unClustered	19	39	1.8644584187597575	0.06225735565325602	0.19862184186755144	ns	0.12110958867717005
deltaDistance	9	10	11	19	-3.704133517581201	2.1211452082210203e-4	0.0019999369106083907	**	-0.2406093277306727
deltaDistance	9	11	11	5	-1.3477136543706072	0.17775049865716033	0.33629934411343965	ns	-0.0875434092244358
deltaDistance	9	unClustered	11	39	0.44387319044614076	0.6571342685810371	0.7608923109885692	ns	0.028832662063611354
deltaDistance	10	11	19	5	1.3458820416621977	0.1783405612722786	0.33629934411343965	ns	0.08742443319391703
deltaDistance	10	unClustered	19	39	5.557774654019182	2.7323582732920228e-8	4.765343657024669e-7	****	0.3610162584137499
deltaDistance	11	unClustered	5	39	1.8492785302869095	0.06441760425704648	0.19862184186755144	ns	0.12012354896150029
