.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	r
FaithPD	2	unClustered	34	39	2.482196376067568	0.013057529309811364	0.028726564481585004	*	0.16123598096731862
FaithPD	3	4	29	9	-2.022891032604373	0.0430843832951721	0.08022776205282119	ns	-0.1314008928450227
FaithPD	3	5	29	13	2.061862841684516	0.03922079610216682	0.07613448655126501	ns	0.1339323838775988
FaithPD	3	6	29	6	0.08392003690593243	0.9331200086070122	0.94747570104712	ns	0.0054511921795559306
FaithPD	3	7	29	13	-0.22058269550964862	0.8254173761720648	0.8786701101186496	ns	-0.014328385794865653
FaithPD	3	8	29	19	0.5406357955795433	0.5887586401996341	0.7472705817918432	ns	0.035118068693829066
FaithPD	3	9	29	11	0.2604405072357807	0.7945240004355705	0.8740324053906502	ns	0.016917428883815304
FaithPD	3	10	29	19	4.41863034850985	9.932836679668245e-6	5.959702007800947e-5	****	0.28702088426325106
FaithPD	3	11	29	5	3.2053129481345892	0.0013491570536242569	0.004336404525414229	**	0.2082074498547493
FaithPD	3	unClustered	29	39	-0.32771774958638256	0.7431250816709343	0.8740324053906502	ns	-0.021287555386199673
FaithPD	4	5	9	13	3.3670903022479495	7.596580883407944e-4	0.0027854129905829127	**	0.21871601825016737
FaithPD	4	6	9	6	1.5359327649894823	0.12455487120770499	0.18268047777130064	ns	0.09976955427485645
FaithPD	4	7	9	13	1.6102350395227767	0.10734655463577757	0.1647644792084028	ns	0.10459600565396066
FaithPD	4	8	9	19	2.3018315530568167	0.021344673408128685	0.044023388904265416	*	0.14952002672190656
FaithPD	4	9	9	11	1.9224869161560982	0.05454451835880372	0.09473521609686963	ns	0.12487894463625868
FaithPD	4	10	9	19	5.130428403832406	2.8908349928200245e-7	3.815902190522432e-6	****	0.33325713648209565
FaithPD	4	11	9	5	4.166552442196647	3.0924077836757314e-5	1.7008242810216524e-4	***	0.27064666468237014
FaithPD	4	unClustered	9	39	1.8699638685095137	0.0614888354865101	0.10405802928486325	ns	0.1214672060678112
FaithPD	5	6	13	6	-1.3181301637169824	0.1874600785630975	0.25775760802425907	ns	-0.08562175500643575
FaithPD	5	7	13	13	-1.9422765724735522	0.052103627567968935	0.0929416059320527	ns	-0.1261644209507499
FaithPD	5	8	13	19	-1.4686712019994115	0.14192199209430187	0.20362720604834614	ns	-0.09540044625638437
FaithPD	5	9	13	11	-1.4547562047933886	0.1457367665247125	0.20465162958789418	ns	-0.09449657005774734
FaithPD	5	10	13	19	1.7113169468337637	0.08702261959610579	0.14008519252056054	ns	0.11116198111040491
FaithPD	5	11	13	5	1.6417074542514691	0.10065064609291029	0.15816530100314474	ns	0.10664035867579137
FaithPD	5	unClustered	13	39	-2.3998135355055914	0.016403425287685958	0.03492342158023462	*	-0.1558846404203115
FaithPD	6	7	6	13	-0.2254347362493831	0.8216410914102306	0.8786701101186496	ns	-0.014643559709350164
FaithPD	6	8	6	19	0.26037449589223943	0.7945749139915002	0.8740324053906502	ns	0.01691314098627687
FaithPD	6	9	6	11	0.10755447786710166	0.9143491088346763	0.94292251848576	ns	0.006986414094199709
FaithPD	6	10	6	19	2.704561526586862	0.006839460245621952	0.01736170677734803	*	0.1756801496570355
FaithPD	6	11	6	5	2.501088460900254	0.01238122478905157	0.028177959864738058	*	0.16246315374860426
FaithPD	6	unClustered	6	39	-0.2690694554890066	0.7878762348970252	0.8740324053906502	ns	-0.01747793930504526
FaithPD	7	8	13	19	0.6478756229552805	0.5170653985672788	0.6691434569694197	ns	0.04208404404227676
FaithPD	7	9	13	11	0.40483203645285815	0.6856009783424355	0.8227211740109226	ns	0.026296666594882282
FaithPD	7	10	13	19	3.8278637717884556	1.2926026128586837e-4	6.09369803204808e-4	***	0.24864647140906607
FaithPD	7	11	13	5	3.0893949366368556	0.0020056462988358057	0.006016938896507417	**	0.2006777658717165
FaithPD	7	unClustered	13	39	-0.021020264544574126	0.9832294904775111	0.9832294904775111	ns	-0.0013654129087910239
FaithPD	8	9	19	11	-0.17775487260577288	0.8589154892834449	0.8998162268683708	ns	-0.011546419748512426
FaithPD	8	10	19	19	3.527880100303331	4.189018557116825e-4	0.0017279701548106904	**	0.22916043798623534
