.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	r
NormedDelta	6	8	6	19	-2.361686555067479	0.018192016245466163	0.09235946709236667	ns	-0.15340802690514718
NormedDelta	6	9	6	11	-1.6076636522101673	0.10790886330289287	0.32042926638029917	ns	-0.10442897609909024
NormedDelta	6	10	6	19	-4.376387695403849	1.2066231550578178e-5	1.5092765059354497e-4	***	-0.28427692907989904
NormedDelta	6	11	6	5	-1.7359157704824981	0.08257872887167855	0.32042926638029917	ns	-0.11275984641223462
NormedDelta	6	unClustered	6	39	-1.5291401210858784	0.1262297109982997	0.32042926638029917	ns	-0.09932832463899084
NormedDelta	7	8	13	19	-0.795041635856586	0.42658928305760435	0.6404465851118957	ns	-0.05164350383521345
NormedDelta	7	9	13	11	0.009461061945789447	0.9924512773613138	0.9924512773613138	ns	6.145620139203704e-4
NormedDelta	7	10	13	19	-3.4162509251840047	6.348971478656195e-4	0.00598617310844727	**	-0.22190934386311378
NormedDelta	7	11	13	5	-0.43963844529825485	0.6601989912845176	0.7627456552511783	ns	-0.028557585806692595
NormedDelta	7	unClustered	13	39	0.4659512975795617	0.6412503616237241	0.7627456552511783	ns	0.030266789232549652
NormedDelta	8	9	19	11	0.7655467153546909	0.44394605998261083	0.6511208879744959	ns	0.049727602866809696
NormedDelta	8	10	19	19	-2.9079706142746242	0.003637825195852839	0.026677384769587486	*	-0.1888929897478595
NormedDelta	8	11	19	5	0.10905126846877088	0.9131618264134106	0.9272104698966938	ns	0.007083641091744978
NormedDelta	8	unClustered	19	39	1.5562247458319658	0.11965465897285052	0.32042926638029917	ns	0.10108766007359718
NormedDelta	9	10	11	19	-3.255783973506775	0.0011307975291034386	0.009329079615103368	**	-0.21148589525285394
NormedDelta	9	11	11	5	-0.43612623547126206	0.6627451432330396	0.7627456552511783	ns	-0.028329443262340243
NormedDelta	9	unClustered	11	39	0.4257477875605232	0.6702916364328536	0.7627456552511783	ns	0.027655290626416546
NormedDelta	10	11	19	5	1.986138228526466	0.04701797750021234	0.22165617964385817	ns	0.129013541676543
NormedDelta	10	unClustered	19	39	4.928502348457399	8.286233882894854e-7	1.822971454236868e-5	****	0.32014062969191565
NormedDelta	11	unClustered	5	39	0.8011860662550918	0.4230239364940803	0.6404465851118957	ns	0.05204262747923311
