.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	r
dysbiosis_dist	5	11	13	5	0.20034469955064316	0.8412110059376925	0.8812686728871064	ns	0.013013786691134607
dysbiosis_dist	5	unClustered	13	39	-3.3948743158836723	6.866011203617066e-4	0.0028322296214920396	**	-0.22052078387506213
dysbiosis_dist	6	7	6	13	-0.7956781964723711	0.4262191029777804	0.5101168770627956	ns	-0.051684852890558484
dysbiosis_dist	6	8	6	19	0.2910356007743144	0.7710240919289393	0.8207675817308063	ns	0.018904793770427347
dysbiosis_dist	6	9	6	11	-0.05114631723644121	0.9592089284484684	0.9592089284484684	ns	-0.0033223103183915026
dysbiosis_dist	6	10	6	19	2.6995488520492	0.006943356101614527	0.020286377494495487	*	0.17535454145611215
dysbiosis_dist	6	11	6	5	1.3642306225809673	0.17249499318253642	0.2529926566677201	ns	0.08861630160220267
dysbiosis_dist	6	unClustered	6	39	-0.8359209877802695	0.4031993544444919	0.5020973093082352	ns	-0.0542989030905961
dysbiosis_dist	7	8	13	19	1.4696887464176998	0.1416460719836305	0.2266767456575592	ns	0.09546654286906273
dysbiosis_dist	7	9	13	11	0.8952201315684718	0.37066942516130574	0.4812730945859342	ns	0.05815079640226074
dysbiosis_dist	7	10	13	19	4.6032638366943	4.159207796507226e-6	3.431346432118461e-5	****	0.2990141181080285
dysbiosis_dist	7	11	13	5	2.316053811184589	0.020555330777611697	0.05024636412305082	ns	0.15044386166216808
dysbiosis_dist	7	unClustered	13	39	0.08159050079971164	0.9349723553727957	0.949356545455454	ns	0.005299872548721423
dysbiosis_dist	8	9	19	11	-0.4282436387680878	0.6684737480433267	0.7353211228476595	ns	-0.02781741358400368
dysbiosis_dist	8	10	19	19	3.47638943492584	5.082137307877261e-4	0.0023958647308564233	**	0.22581575985244787
dysbiosis_dist	8	11	19	5	1.3723813655054717	0.16994474802523465	0.2529926566677201	ns	0.08914574924934125
dysbiosis_dist	8	unClustered	19	39	-1.7974091864315933	0.072270683422828	0.13249625294185133	ns	-0.11675427301730908
dysbiosis_dist	9	10	11	19	3.405245693810531	6.610455035730841e-4	0.0028322296214920396	**	0.2211944772661826
dysbiosis_dist	9	11	11	5	1.5797251896625817	0.11416981434531084	0.19321045504591067	ns	0.10261417793927856
dysbiosis_dist	9	unClustered	11	39	-0.9977254837215955	0.3184124923826928	0.4288821325970964	ns	-0.0648092345371972
dysbiosis_dist	10	11	19	5	-0.8716183655610595	0.3834166081686806	0.4866441565217869	ns	-0.056617696953942705
dysbiosis_dist	10	unClustered	19	39	-5.828863346200814	5.5806177722118775e-9	9.208019324149598e-8	****	-0.3786253612367504
dysbiosis_dist	11	unClustered	5	39	-2.5107703468462215	0.012046803958928315	0.030580348511125722	*	-0.16309205982274205
