.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif
NormedDelta	Initial FMT	Staley combo	6	114	2.608982868324292	0.009081178861143716	0.03373009291281952	*
NormedDelta	Initial FMT	Staley RI FMT trial	6	9	2.8935320246634864	0.0038093544236025146	0.024760803753416345	*
NormedDelta	Initial FMT	weingarden	6	4	3.2218425537647337	0.0012736910569455806	0.011038655826861699	*
NormedDelta	khanna_kashyap	Mintz UC	36	14	-0.5580902639347314	0.5767827485810848	0.6921392982973017	ns
NormedDelta	khanna_kashyap	Seekatz Bile	36	6	0.3243428764717808	0.7456784619185721	0.8191960567556145	ns
NormedDelta	khanna_kashyap	seekatz_454	36	13	-4.745315365143624	2.081817319498486e-6	8.119087546044096e-5	****
NormedDelta	khanna_kashyap	Staley combo	36	114	-5.005371717950112	5.575433347665232e-7	4.3488380111788814e-5	****
NormedDelta	khanna_kashyap	Staley RI FMT trial	36	9	-1.4078728854967535	0.15916871327153975	0.26692739865894527	ns
NormedDelta	khanna_kashyap	weingarden	36	4	0.05688665510762399	0.9546354847796701	0.9797574712212405	ns
NormedDelta	Mintz UC	Seekatz Bile	14	6	0.6533531134250699	0.5135286583831347	0.6414225389694801	ns
NormedDelta	Mintz UC	seekatz_454	14	13	-3.5301390765033034	4.153412747395378e-4	0.005399436571613992	**
NormedDelta	Mintz UC	Staley combo	14	114	-2.7583065399428155	0.005810168502631349	0.02910859381650997	*
NormedDelta	Mintz UC	Staley RI FMT trial	14	9	-0.8166274730318603	0.41414135001205865	0.5475089034057725	ns
NormedDelta	Mintz UC	weingarden	14	4	0.3629332470434946	0.7166547501013567	0.8091958087441886	ns
NormedDelta	Seekatz Bile	seekatz_454	6	13	-3.4008593497724733	6.717438079825084e-4	0.00748514528894795	**
NormedDelta	Seekatz Bile	Staley combo	6	114	-2.6260889496527278	0.00863722431477309	0.03373009291281952	*
NormedDelta	Seekatz Bile	Staley RI FMT trial	6	9	-1.2668811840184444	0.20519777762170907	0.31383189518614324	ns
NormedDelta	Seekatz Bile	weingarden	6	4	-0.1751206063706138	0.8609848669209116	0.9199564331483713	ns
NormedDelta	seekatz_454	Staley combo	13	114	1.9763129357198366	0.048119345418763386	0.11039143949010423	ns
NormedDelta	seekatz_454	Staley RI FMT trial	13	9	2.33098456469378	0.01975417359946591	0.059262520798397736	ns
NormedDelta	seekatz_454	weingarden	13	4	2.7378888870635505	0.006183496384246077	0.02910859381650997	*
NormedDelta	Staley combo	Staley RI FMT trial	114	9	1.248385456690376	0.2118899323459583	0.3178348985189374	ns
NormedDelta	Staley combo	weingarden	114	4	1.9400725870233837	0.05237086897652276	0.11671222229053643	ns
NormedDelta	Staley RI FMT trial	weingarden	9	4	0.9230185954933593	0.35599751464425117	0.4787552783146826	ns
