SampleID	Weight11ClusterDysbio	ReRefNeighbor11ClusterDysbio	Neighbor11ClusterDysbio	unNeighborClusters	SimpleID
SRR6113274	5	unClustered	5	unClustered	D192
SRR6113277	3	unClustered	3	3	D193
SRR6113281	5	unClustered	5	5	D194
SRR6113294	5	unClustered	5	5	D195
SRR6113301	5	unClustered	5	5	D196
SRR6113303	1	1	1	1	D197
SRR5495942	5	unClustered	6	6	D198
SRR5495943	6	6	6	6	D199
SRR5495948	3	unClustered	3	unClustered	D200
SRR5495953	5	unClustered	6	6	D201
SRR5495954	5	unClustered	6	6	D202
SRR5495958	3	3	3	3	D203
SRR5495959	3	unClustered	3	unClustered	D204
SRR5495964	4	4	4	4	D205
SRR5495965	4	4	4	4	D206
SRR5495970	3	3	3	3	D207
SRR5495971	3	3	3	3	D208
SRR5020870	2	unClustered	3	3	D209
SRR5020874	7	7	7	7	D210
SRR5020904	5	unClustered	5	unClustered	D211
SRR5318447	3	unClustered	2	2	D212
SRR5318448	3	unClustered	2	2	D213
SRR5318451	2	unClustered	2	unClustered	D214
SRR5318452	2	unClustered	1	1	D215
SRR5318455	5	unClustered	7	unClustered	D216
SRR5318456	3	unClustered	3	unClustered	D217
SRR5318459	3	3	3	3	D218
SRR5318460	3	unClustered	7	unClustered	D219
SRR5318463	9	unClustered	2	2	D220
SRR5318464	3	unClustered	2	2	D221
SRR5318467	9	9	9	9	D222
SRR5318468	8	8	8	8	D223
SRR5318471	3	3	3	3	D224
SRR5318472	3	unClustered	2	2	D225
SRR5318475	3	unClustered	3	unClustered	D226
SRR5318476	3	unClustered	2	2	D227
SRR5318479	1	1	1	1	D228
SRR5318480	2	2	2	2	D229
SRR5318483	2	2	2	2	D230
SRR5318484	2	2	2	2	D231
SRR5318485	3	unClustered	2	2	D232
SRR5318489	2	unClustered	2	2	D233
SRR5318490	2	2	2	2	D234
SRR5318491	2	2	2	2	D235
SRR5318495	9	9	9	9	D236
SRR5318496	9	unClustered	9	unClustered	D237
SRR5318499	9	unClustered	9	9	D238
SRR5318500	2	2	2	2	D239
SRR5318504	2	2	2	2	D240
SRR5318505	2	2	2	unClustered	D241
SRR5318506	3	unClustered	2	2	D242
SRR5318508	2	2	2	2	D243
SRR5318509	2	2	2	2	D244
SRR5318510	3	unClustered	3	unClustered	D245
ERR1883214	6	6	6	6	D246
ERR1883216	8	8	8	8	D247
ERR1883232	6	6	6	6	D248
ERR1883234	6	unClustered	2	2	D249
ERR1883236	1	1	1	1	D250
ERR1883238	1	1	1	1	D251
ERR1883240	6	6	6	6	D252
ERR1883242	7	7	7	7	D253
ERR1883244	1	1	1	1	D254
ERR1883246	6	6	6	6	D255
ERR1883250	5	unClustered	5	unClustered	D256
ERR1883252	5	unClustered	3	3	D257
ERR1883263	2	2	2	2	D258
ERR1883294	1	1	1	1	D259
ERR1883315	3	unClustered	2	2	D260
ERR1810963	7	7	7	7	D261
ERR1810967	7	7	7	7	D262
ERR1810971	7	7	7	7	D263
ERR1810975	1	1	1	1	D264
ERR1810979	1	1	1	1	D265
ERR1810982	5	unClustered	5	5	D266
ERR1810986	1	1	1	1	D267
ERR1810990	1	1	1	1	D268
ERR1810997	1	unClustered	1	1	D269
ERR1811001	6	6	6	6	D270
ERR1811005	4	4	4	4	D271
ERR1811009	2	2	2	2	D272
ERR1811013	1	1	1	1	D273
ERR1811017	1	1	1	1	D274
ERR1811021	1	1	1	1	D275
ERR1811025	5	unClustered	5	5	D276
ERR1811029	7	unClustered	7	unClustered	D277
ERR1811033	3	unClustered	3	3	D278
ERR1811037	1	1	1	1	D279
ERR1811040	2	2	2	2	D280
ERR1811043	8	8	8	8	D281
ERR1811046	8	unClustered	10	unClustered	D282
ERR1811049	1	1	1	1	D283
ERR1811052	7	7	7	7	D284
ERR1811055	8	8	8	8	D285
ERR1811058	2	unClustered	2	unClustered	D286
ERR1811061	2	2	2	2	D287
ERR1811063	8	8	8	8	D288
ERR1811067	3	unClustered	2	2	D289
ERR1811071	2	2	2	2	D290
ERR1811075	1	1	1	1	D291
ERR1811079	1	1	1	1	D292
ERR1811082	7	7	7	unClustered	D293
ERR1811086	8	8	8	8	D294
ERR1811089	2	unClustered	1	1	D295
ERR1811093	5	unClustered	5	5	D296
ERR1811097	8	8	8	8	D297
P2.R1A	3	3	3	3	D298
P2.R2A	5	unClustered	5	5	D299
P2.R3A	1	1	1	1	D300
P2.R4A	5	unClustered	5	5	D301
P2.R5A	1	1	1	1	D302
P2.R6A	2	2	2	2	D303
P2.R7A	8	8	8	8	D304
P2.R8A	1	1	1	1	D305
